x,y
-8.96276,-2.41452
-8.99174,-2.42225
-9.02072,-2.43002
-9.04969,-2.4378
-9.07868,-2.44553
-9.10767,-2.45325
-9.13665,-2.461
-9.16562,-2.46878
-9.19459,-2.47661
-9.22354,-2.48445
-9.2525,-2.49229
-9.28147,-2.50008
-9.31045,-2.50785
-9.33944,-2.51557
-9.36843,-2.52328
-9.39742,-2.531
-9.42639,-2.53878
-9.45537,-2.54656
-9.48435,-2.55431
-9.51334,-2.56203
-9.54234,-2.56971
-9.57134,-2.57738
-9.60034,-2.58505
-9.62933,-2.59277
-9.65832,-2.6005
-9.68729,-2.60828
-9.71626,-2.61607
-9.74524,-2.62386
-9.77421,-2.63164
-9.80317,-2.63947
-9.83213,-2.64731
-9.86107,-2.6552
-9.89001,-2.6631
-9.91895,-2.671
-9.94791,-2.67885
-9.97687,-2.68669
-10.0058,-2.69449
-10.0348,-2.70227
-10.0638,-2.71
-10.0928,-2.71773
-10.1218,-2.72545
-10.1508,-2.73312
-10.1798,-2.74079
-10.2088,-2.7485
-10.2378,-2.75624
-10.2667,-2.76402
-10.2957,-2.77182
-10.3247,-2.77963
-10.3536,-2.78743
-10.3826,-2.79519
-10.4116,-2.80293
-10.4406,-2.81068
-10.4695,-2.81847
-10.4985,-2.82628
-10.5275,-2.83413
-10.5564,-2.842
-10.5854,-2.84985
-10.6143,-2.85771
-10.6433,-2.86561
-10.6722,-2.87353
-10.7011,-2.88149
-10.73,-2.88946
-10.759,-2.89739
-10.7879,-2.9053
-10.8169,-2.91316
-10.8458,-2.92099
-10.8748,-2.92878
-10.9038,-2.93656
-10.9327,-2.9444
-10.9617,-2.95224
-10.9907,-2.96004
-11.0196,-2.96782
-11.0486,-2.97555
-11.0776,-2.98327
-11.1066,-2.991
-11.1356,-2.99878
-11.1645,-3.00656
-11.1935,-3.0143
-11.2225,-3.02202
-11.2515,-3.02974
-11.2805,-3.03746
-11.3095,-3.04523
-11.3384,-3.05301
-11.3674,-3.06083
-11.3964,-3.06867
-11.4253,-3.07651
-11.4543,-3.08435
-11.4833,-3.09214
-11.5122,-3.09991
-11.5412,-3.10769
-11.5702,-3.11547
-11.5991,-3.12325
-11.6281,-3.13099
-11.6571,-3.13871
-11.6861,-3.14638
-11.7151,-3.15404
-11.7441,-3.16175
-11.7731,-3.16947
-11.8021,-3.17725
-11.8311,-3.18504
-11.86,-3.19283
-11.889,-3.20056
-11.918,-3.20829
-11.947,-3.21606
-11.9759,-3.22385
-12.0049,-3.2317
-12.0339,-3.23955
-12.0628,-3.24736
-12.0918,-3.25515
-12.1208,-3.26289
-12.1498,-3.27062
-12.1787,-3.27839
-12.2077,-3.28619
-12.2367,-3.29403
-12.2656,-3.30188
-12.2946,-3.30973
-12.3235,-3.31758
-12.3525,-3.32538
-12.3815,-3.33317
-12.4104,-3.34096
-12.4394,-3.34881
-12.4684,-3.35666
-12.4973,-3.36448
-12.5263,-3.37227
-12.5553,-3.38001
-12.5843,-3.38775
-12.6132,-3.39553
-12.6422,-3.40333
-12.6712,-3.41118
-12.7001,-3.41904
-12.7291,-3.42684
