x,y,speed
9.36373,1.56226,2.73268
9.36889,1.58916,2.74539
9.37402,1.6162,2.75749
9.37402,1.6162,2.76903
9.37916,1.64335,2.76903
9.37916,1.64335,2.78001
9.38428,1.67061,2.78001
9.3894,1.69799,2.79047
9.39449,1.72548,2.80043
9.39959,1.75306,2.80992
9.40462,1.78075,2.81896
9.40957,1.80855,2.82757
9.41444,1.83645,2.83577
9.41922,1.86444,2.84358
9.42393,1.89252,2.85101
9.42855,1.92069,2.8581
9.43309,1.94894,2.86485
9.43753,1.97727,2.87127
9.44193,2.00568,2.87739
9.44631,2.03415,2.88322
9.45065,2.06268,2.88878
9.45498,2.09127,2.89407
9.45926,2.11991,2.8991
9.46351,2.14862,2.9039
9.46772,2.17737,2.90847
9.4719,2.20618,2.91282
9.47604,2.23503,2.91697
9.48015,2.26393,2.92092
9.48422,2.29287,2.92468
9.48826,2.32186,2.92826
9.49225,2.35088,2.93167
9.49623,2.37994,2.93492
9.50015,2.40905,2.93801
9.50405,2.43818,2.94096
9.50791,2.46735,2.94377
9.51174,2.49655,2.94644
9.51549,2.52579,2.94899
9.51913,2.55507,2.95141
9.52268,2.58438,2.95372
9.52612,2.61372,2.95592
9.52947,2.6431,2.95802
9.53271,2.67252,2.96002
9.53588,2.70196,2.96192
9.53904,2.73141,2.96373
9.54214,2.7609,2.96545
9.54521,2.7904,2.9671
9.54823,2.81993,2.96866
9.55121,2.84947,2.97015
9.55414,2.87903,2.97157
9.55703,2.90862,2.97292
9.55987,2.93822,2.97421
9.56268,2.96783,2.97544
9.56543,2.99746,2.9766
9.56815,3.02711,2.97772
9.57082,3.05677,2.97878
9.57346,3.08645,2.97979
9.57604,3.11614,2.98075
9.5786,3.14584,2.98166
9.5811,3.17556,2.98253
9.58357,3.20528,2.98336
9.586,3.23502,2.98416
9.58839,3.26477,2.98491
9.59073,3.29453,2.98563
9.59305,3.3243,2.98631
9.59531,3.35408,2.98696
9.59755,3.38387,2.98758
9.59973,3.41367,2.98817
9.60189,3.44348,2.98873
9.60399,3.47329,2.98927
9.60607,3.50312,2.98978
9.60809,3.53295,2.99027
9.61009,3.56279,2.99073
9.61203,3.59263,2.99117
9.61395,3.62248,2.99159
9.61582,3.65234,2.99199
9.61766,3.68221,2.99237
9.61944,3.71208,2.99273
9.6212,3.74196,2.99308
9.6229,3.77184,2.99341
9.62458,3.80173,2.99372
9.62621,3.83163,2.99402
9.6278,3.86153,2.9943
9.62935,3.89143,2.99457
9.63087,3.92134,2.99483
9.63233,3.95125,2.99508
9.63377,3.98117,2.99531
9.63515,4.01109,2.99554
9.63651,4.04102,2.99575
9.63782,4.07095,2.99595
9.63782,4.07095,2.99614
9.63909,4.10088,2.99614
9.64032,4.13082,2.99633
9.64151,4.16076,2.9965
9.64266,4.1907,2.99667
9.64377,4.22065,2.99683
9.64483,4.2506,2.99698
9.64587,4.28055,2.99712
9.64685,4.31051,2.99726
9.64781,4.34047,2.99739
9.64871,4.37043,2.99751
9.64958,4.40039,2.99763
9.65038,4.43036,2.99774
9.65105,4.46033,2.99785
9.65162,4.4903,2.99795
9.65208,4.52028,2.99805
9.65244,4.55025,2.99814
9.65269,4.58024,2.99823
9.65269,4.58024,2.99831
9.65284,4.61022,2.99831
9.65287,4.6402,2.9984
9.6528,4.67019,2.99847
9.65261,4.70017,2.99854
9.65234,4.73015,2.99861
9.65205,4.76014,2.99868
9.65169,4.79012,2.99874
9.6513,4.82011,2.9988
9.65084,4.85009,2.99886
9.65034,4.88008,2.99891
9.64977,4.91006,2.99896
9.64919,4.94005,2.99901
9.64868,4.97003,2.99906
9.64827,5.00002,2.99911
9.64793,5.03001,2.99915
9.64771,5.06,2.99919
9.64771,5.06,2.99923
9.64766,5.08999,2.99923
9.64772,5.11999,2.99926
9.64786,5.14998,2.9993
